text,label
完成项目报告,工作
编写Python代码,工作
与团队开会讨论需求,工作
修复系统bug,工作
阅读技术文档,工作
复习考试内容,工作
阅读教科书章节,工作
完成数学作业,工作
发送工作邮件,工作
写工作文档,工作
代码review,工作
单元测试,工作
数据库设计,工作
服务器维护,工作
学习新技术,工作
喝咖啡休息,休闲
公园跑步锻炼,休闲
看Netflix电影,休闲
中午睡一会,睡眠
夜深了该休息了,睡眠
午后小憩片刻,睡眠
快躺下闭眼休息,睡眠
困了就早点睡,睡眠
准备上床睡觉了,睡眠
睡前放松一下,睡眠
梦乡在召唤我,睡眠
享受宁静的夜晚,睡眠
睡个好觉,睡眠
悠闲地喝杯咖啡,休闲
公园散步放松,休闲
坐下来读本好书,休闲
静享午后阳光,休闲
与好友聊聊天,休闲
听听轻音乐,休闲
在咖啡馆消磨时光,休闲
周末逛街放松,休闲
看场电影休息,休闲
享受慢生活,休闲
冥想放松,休闲
中午躺一会,睡眠
晚上11点睡觉,睡眠
午休30分钟,睡眠
凌晨三点入睡,睡眠
准时准点睡觉,睡眠
听音乐放松,休闲
和朋友聊天,休闲
玩电子游戏,休闲
画画,休闲
做瑜伽,休闲
散步,休闲
准备晚餐,休闲
购物,休闲
看电视节目,休闲
睡午觉,睡眠
看综艺节目,休闲
追剧两小时,休闲
出门散步,休闲
打开Steam,休闲
打王者荣耀,休闲
周末看电影,休闲
玩Switch游戏,休闲
健身房锻炼,休闲
阅读小说,休闲
刷抖音半小时,休闲
朋友聚餐,休闲
逛街购物,休闲
玩暗黑地牢,休闲
刷短视频,休闲
眯半小时,睡眠
晚上10点睡觉,睡眠
早上7点起床,睡眠
深度睡眠,睡眠
快速眼动睡眠,睡眠
小睡一会儿,睡眠
周末睡懒觉,睡眠
工作总结报告,工作
项目计划书,工作
客户沟通,工作
产品设计,工作
看课,工作
代码调试,工作
性能优化,工作
开会讨论项目进展,工作
重构代码,工作
小憩半个小时,睡眠
午休一小时,睡眠
打盹15分钟,睡眠
通宵加班,工作
深夜写代码,工作
刷微博半小时,休闲
中午眯半个小时,工作
改正代码bug,工作
吃饭睡觉打豆豆,休闲
添加混淆矩阵部分内容,工作
混淆矩阵测试,工作
测试混淆矩阵,工作
学习混淆矩阵,工作
自动记录任务,工作
